[01-06-23 04:08:48.615] WARN : Script      , 1685585328615> VehicleScript.Loaded> vehicle "TrailerHomeHartman" extents != physicsChassisShape.
[01-06-23 04:08:48.689] WARN : Recipe      , 1685585328689> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets22Box" in recipe "Pack 5".
[01-06-23 04:08:48.689] WARN : Recipe      , 1685585328689> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets22Box" in recipe "Unpack 5".
[01-06-23 04:08:48.690] WARN : Recipe      , 1685585328690> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "3006Box" in recipe "Pack 10".
[01-06-23 04:08:48.690] WARN : Recipe      , 1685585328690> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "3006Box" in recipe "Unpack 10".
[01-06-23 04:08:48.690] WARN : Recipe      , 1685585328690> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "3006Box" in recipe "Pack 5".
[01-06-23 04:08:48.690] WARN : Recipe      , 1685585328690> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "3006Box" in recipe "Unpack 5".
[01-06-23 04:08:48.691] WARN : Recipe      , 1685585328691> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets357Box" in recipe "Pack 10".
[01-06-23 04:08:48.691] WARN : Recipe      , 1685585328691> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets357Box" in recipe "Unpack 10".
[01-06-23 04:08:48.691] WARN : Recipe      , 1685585328691> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets357Box" in recipe "Pack 5".
[01-06-23 04:08:48.692] WARN : Recipe      , 1685585328692> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets357Box" in recipe "Unpack 5".
[01-06-23 04:08:48.692] WARN : Recipe      , 1685585328692> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets380Box" in recipe "Pack 10".
[01-06-23 04:08:48.692] WARN : Recipe      , 1685585328692> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets380Box" in recipe "Unpack 10".
[01-06-23 04:08:48.692] WARN : Recipe      , 1685585328692> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets380Box" in recipe "Pack 5".
[01-06-23 04:08:48.693] WARN : Recipe      , 1685585328693> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets380Box" in recipe "Unpack 5".
[01-06-23 04:08:48.693] WARN : Recipe      , 1685585328693> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "410gShotgunShellsBox" in recipe "Pack 10".
[01-06-23 04:08:48.693] WARN : Recipe      , 1685585328693> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "410gShotgunShellsBox" in recipe "Unpack 10".
[01-06-23 04:08:48.693] WARN : Recipe      , 1685585328693> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "410gShotgunShellsBox" in recipe "Pack 5".
[01-06-23 04:08:48.694] WARN : Recipe      , 1685585328694> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "410gShotgunShellsBox" in recipe "Unpack 5".
[01-06-23 04:08:48.694] WARN : Recipe      , 1685585328694> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets45LCBox" in recipe "Pack 10".
[01-06-23 04:08:48.694] WARN : Recipe      , 1685585328694> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets45LCBox" in recipe "Unpack 10".
[01-06-23 04:08:48.694] WARN : Recipe      , 1685585328694> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets45LCBox" in recipe "Pack 5".
[01-06-23 04:08:48.695] WARN : Recipe      , 1685585328695> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets45LCBox" in recipe "Unpack 5".
[01-06-23 04:08:48.695] WARN : Recipe      , 1685585328695> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets4570Box" in recipe "Pack 10".
[01-06-23 04:08:48.695] WARN : Recipe      , 1685585328695> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets4570Box" in recipe "Unpack 10".
[01-06-23 04:08:48.695] WARN : Recipe      , 1685585328695> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets4570Box" in recipe "Pack 5".
[01-06-23 04:08:48.696] WARN : Recipe      , 1685585328696> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets4570Box" in recipe "Unpack 5".
[01-06-23 04:08:48.696] WARN : Recipe      , 1685585328696> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "4gShotgunShellsBox" in recipe "Pack 10".
[01-06-23 04:08:48.696] WARN : Recipe      , 1685585328696> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "4gShotgunShellsBox" in recipe "Unpack 10".
[01-06-23 04:08:48.696] WARN : Recipe      , 1685585328696> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "4gShotgunShellsBox" in recipe "Pack 5".
[01-06-23 04:08:48.697] WARN : Recipe      , 1685585328697> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "4gShotgunShellsBox" in recipe "Unpack 5".
[01-06-23 04:08:48.697] WARN : Recipe      , 1685585328697> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets50MAGBox" in recipe "Pack 10".
[01-06-23 04:08:48.697] WARN : Recipe      , 1685585328697> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets50MAGBox" in recipe "Unpack 10".
[01-06-23 04:08:48.697] WARN : Recipe      , 1685585328697> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets50MAGBox" in recipe "Pack 5".
[01-06-23 04:08:48.698] WARN : Recipe      , 1685585328698> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets50MAGBox" in recipe "Unpack 5".
[01-06-23 04:08:48.698] WARN : Recipe      , 1685585328698> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "50BMGBox" in recipe "Pack 10".
[01-06-23 04:08:48.698] WARN : Recipe      , 1685585328698> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "50BMGBox" in recipe "Unpack 10".
[01-06-23 04:08:48.699] WARN : Recipe      , 1685585328699> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "50BMGBox" in recipe "Pack 5".
[01-06-23 04:08:48.699] WARN : Recipe      , 1685585328699> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "50BMGBox" in recipe "Unpack 5".
[01-06-23 04:08:48.699] WARN : Recipe      , 1685585328699> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "545x39Box" in recipe "Pack 10".
[01-06-23 04:08:48.699] WARN : Recipe      , 1685585328699> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "545x39Box" in recipe "Unpack 10".
[01-06-23 04:08:48.700] WARN : Recipe      , 1685585328700> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "545x39Box" in recipe "Pack 5".
[01-06-23 04:08:48.700] WARN : Recipe      , 1685585328700> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "545x39Box" in recipe "Unpack 5".
[01-06-23 04:08:48.700] WARN : Recipe      , 1685585328700> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets57Box" in recipe "Pack 10".
[01-06-23 04:08:48.700] WARN : Recipe      , 1685585328700> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets57Box" in recipe "Unpack 10".
[01-06-23 04:08:48.701] WARN : Recipe      , 1685585328701> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bullets57Box" in recipe "Pack 5".
[01-06-23 04:08:48.701] WARN : Recipe      , 1685585328701> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bullets57Box" in recipe "Unpack 5".
[01-06-23 04:08:48.701] WARN : Recipe      , 1685585328701> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "762x39Box" in recipe "Pack 10".
[01-06-23 04:08:48.702] WARN : Recipe      , 1685585328702> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "762x39Box" in recipe "Unpack 10".
[01-06-23 04:08:48.702] WARN : Recipe      , 1685585328702> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "762x39Box" in recipe "Pack 5".
[01-06-23 04:08:48.702] WARN : Recipe      , 1685585328702> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "762x39Box" in recipe "Unpack 5".
[01-06-23 04:08:48.702] WARN : Recipe      , 1685585328702> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "762x51Box" in recipe "Pack 10".
[01-06-23 04:08:48.703] WARN : Recipe      , 1685585328703> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "762x51Box" in recipe "Unpack 10".
[01-06-23 04:08:48.703] WARN : Recipe      , 1685585328703> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "762x51Box" in recipe "Pack 5".
[01-06-23 04:08:48.703] WARN : Recipe      , 1685585328703> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "762x51Box" in recipe "Unpack 5".
[01-06-23 04:08:48.703] WARN : Recipe      , 1685585328703> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "762x54rBox" in recipe "Pack 10".
[01-06-23 04:08:48.704] WARN : Recipe      , 1685585328704> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "762x54rBox" in recipe "Unpack 10".
[01-06-23 04:08:48.704] WARN : Recipe      , 1685585328704> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "762x54rBox" in recipe "Pack 5".
[01-06-23 04:08:48.704] WARN : Recipe      , 1685585328704> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "762x54rBox" in recipe "Unpack 5".
[01-06-23 04:08:48.704] WARN : Recipe      , 1685585328704> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Arrow_Fiberglass_Pack" in recipe "Pack 10".
[01-06-23 04:08:48.705] WARN : Recipe      , 1685585328705> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Arrow_Fiberglass_Pack" in recipe "Unpack 10".
[01-06-23 04:08:48.705] WARN : Recipe      , 1685585328705> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Arrow_Fiberglass_Pack" in recipe "Pack 5".
[01-06-23 04:08:48.705] WARN : Recipe      , 1685585328705> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Arrow_Fiberglass_Pack" in recipe "Unpack 5".
[01-06-23 04:08:48.705] WARN : Recipe      , 1685585328705> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bolt_Bear_Pack" in recipe "Pack 10".
[01-06-23 04:08:48.706] WARN : Recipe      , 1685585328706> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bolt_Bear_Pack" in recipe "Unpack 10".
[01-06-23 04:08:48.706] WARN : Recipe      , 1685585328706> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "Bolt_Bear_Pack" in recipe "Pack 5".
[01-06-23 04:08:48.706] WARN : Recipe      , 1685585328706> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe result "Bolt_Bear_Pack" in recipe "Unpack 5".
[01-06-23 04:08:48.707] WARN : Recipe      , 1685585328707> RecipeManager.resolveItemModuleDotType> WARNING: module "RunFlat" may have forgot to import module Base.
[01-06-23 04:08:48.708] WARN : Recipe      , 1685585328708> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "FrontCarDoor8" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.708] WARN : Recipe      , 1685585328708> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "RearCarDoor8" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.708] WARN : Recipe      , 1685585328708> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "RearCarDoorDouble8" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.709] WARN : Recipe      , 1685585328709> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ECTO1CarFrontDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.709] WARN : Recipe      , 1685585328709> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ECTO1CarRearDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.709] WARN : Recipe      , 1685585328709> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "M998BackCover2_Item" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.709] WARN : Recipe      , 1685585328709> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "IFAVDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.710] WARN : Recipe      , 1685585328710> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "SL500Door3" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.710] WARN : Recipe      , 1685585328710> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "W460CarFrontDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.710] WARN : Recipe      , 1685585328710> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "W460CarRearDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.710] WARN : Recipe      , 1685585328710> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "McLarenF1Door3" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.711] WARN : Recipe      , 1685585328711> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "E150CarFrontDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.711] WARN : Recipe      , 1685585328711> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "E150CarSlideDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.711] WARN : Recipe      , 1685585328711> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "DG70Door3" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.711] WARN : Recipe      , 1685585328711> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "fhqFusFleaSupDoor" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.712] WARN : Recipe      , 1685585328712> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "NivaLeftDoor1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.712] WARN : Recipe      , 1685585328712> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "NivaRightDoor1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.712] WARN : Recipe      , 1685585328712> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "89BroncoCarFrontDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.712] WARN : Recipe      , 1685585328712> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "88ChevyS10CarFrontDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.713] WARN : Recipe      , 1685585328713> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "CadillacFuneralCoachDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.713] WARN : Recipe      , 1685585328713> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "CadillacFuneralCoachRearDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.713] WARN : Recipe      , 1685585328713> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "CadillacFleetwoodDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.713] WARN : Recipe      , 1685585328713> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "CadillacFleetwoodRearDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.714] WARN : Recipe      , 1685585328714> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyBlazerDoorSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.714] WARN : Recipe      , 1685585328714> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyCamaroDoorSC3" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.714] WARN : Recipe      , 1685585328714> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyCapriceFrontDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.714] WARN : Recipe      , 1685585328714> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyCapriceRearDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.715] WARN : Recipe      , 1685585328715> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyG30FrontDoorSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.715] WARN : Recipe      , 1685585328715> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyG30RearDoorsSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.715] WARN : Recipe      , 1685585328715> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyG30SideDoorSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.716] WARN : Recipe      , 1685585328716> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyG30RearDoorsSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.716] WARN : Recipe      , 1685585328716> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyP30DoorSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.716] WARN : Recipe      , 1685585328716> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyP30RearDoorsSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.716] WARN : Recipe      , 1685585328716> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyCavalierFrontDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.717] WARN : Recipe      , 1685585328717> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "ChevyCavalierRearDoorSC1" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.717] WARN : Recipe      , 1685585328717> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "M1010RearDoors2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.717] WARN : Recipe      , 1685585328717> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "FireCoachFrontDoor2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.717] WARN : Recipe      , 1685585328717> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "FordBroncoDoorSC2" in recipe "Salvage Vehicle Doors".
[01-06-23 04:08:48.718] WARN : Recipe      , 1685585328718> RecipeManager.resolveItemModuleDotType> ERROR: can't find recipe source "FordCrownVictoriaDoorSC1" in recipe "Salvage Vehicle Doors".
