DEBUG: General     , 1688682227334> LoggerManager.init                  > Initializing...
LOG  : General     , 1688682229235> closest width=1280 freq=119
LOG  : General     , 1688682229235> closest width=1280 freq=120
LOG  : General     , 1688682229236> closest width=1280 freq=144
LOG  : General     , 1688682229236> closest width=1360 freq=50
LOG  : General     , 1688682229236> closest width=1360 freq=59
LOG  : General     , 1688682229237> 1688682229233 fmod: Java loging: OK
LOG  : General     , 1688682229237> closest width=1360 freq=60
LOG  : General     , 1688682229238> closest width=1360 freq=75
LOG  : General     , 1688682229238> closest width=1360 freq=100
LOG  : General     , 1688682229238> closest width=1360 freq=119
LOG  : General     , 1688682229239> closest width=1360 freq=120
LOG  : General     , 1688682229239> closest width=1360 freq=144
LOG  : General     , 1688682229239> closest width=1366 freq=50
LOG  : General     , 1688682229240> closest width=1366 freq=59
LOG  : General     , 1688682229240> closest width=1366 freq=60
LOG  : General     , 1688682229240> closest width=1366 freq=75
LOG  : General     , 1688682229241> closest width=1366 freq=100
LOG  : General     , 1688682229241> closest width=1366 freq=119
LOG  : General     , 1688682229242> closest width=1366 freq=120
LOG  : General     , 1688682229242> closest width=1366 freq=144
LOG  : General     , 1688682229242> closest width=1440 freq=50
LOG  : General     , 1688682229243> closest width=1440 freq=59
LOG  : General     , 1688682229243> closest width=1440 freq=60
LOG  : General     , 1688682229243> closest width=1440 freq=75
LOG  : General     , 1688682229244> closest width=1440 freq=100
LOG  : General     , 1688682229244> closest width=1440 freq=119
LOG  : General     , 1688682229244> closest width=1440 freq=120
LOG  : General     , 1688682229245> closest width=1440 freq=144
LOG  : General     , 1688682229245> closest width=1600 freq=50
LOG  : General     , 1688682229245> closest width=1600 freq=59
LOG  : General     , 1688682229245> closest width=1600 freq=60
LOG  : General     , 1688682229246> closest width=1600 freq=75
LOG  : General     , 1688682229246> closest width=1600 freq=100
LOG  : General     , 1688682229246> closest width=1600 freq=119
LOG  : General     , 1688682229247> closest width=1600 freq=120
LOG  : General     , 1688682229247> closest width=1600 freq=144
LOG  : General     , 1688682229247> 1688682229247 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1688682229247> closest width=1680 freq=50
LOG  : General     , 1688682229248> 1688682229248 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1688682229248> closest width=1680 freq=59
LOG  : General     , 1688682229248> 1688682229248 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1688682229249> closest width=1680 freq=60
LOG  : General     , 1688682229249> 1688682229249 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1688682229249> closest width=1680 freq=75
LOG  : General     , 1688682229249> 1688682229249 fmod: System Create: OK
LOG  : General     , 1688682229250> closest width=1680 freq=100
LOG  : General     , 1688682229250> 1688682229250 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1688682229250> closest width=1680 freq=119
LOG  : General     , 1688682229251> closest width=1680 freq=120
LOG  : General     , 1688682229251> closest width=1680 freq=144
LOG  : General     , 1688682229251> closest width=1920 freq=50
LOG  : General     , 1688682229252> closest width=1920 freq=59
LOG  : General     , 1688682229252> closest width=1920 freq=60
LOG  : General     , 1688682229252> closest width=1920 freq=75
LOG  : General     , 1688682229253> closest width=1920 freq=100
LOG  : General     , 1688682229253> closest width=1920 freq=119
LOG  : General     , 1688682229253> closest width=1920 freq=120
LOG  : General     , 1688682229360> 1688682229360 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1688682229361> 1688682229361 fmod: Creating DSP for capture sound
LOG  : General     , 1688682229362> 1688682229361 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1688682229362> 1688682229362 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1688682229362> 1688682229362 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1688682229362> 1688682229362 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1688682229363> 1688682229363 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1688682230034> GraphicsCard: NVIDIA Corporation NVIDIA GeForce RTX 2060 SUPER/PCIe/SSE2
LOG  : General     , 1688682230035> OpenGL version: 4.6.0 NVIDIA 536.23
LOG  : General     , 1688682230035> Desktop resolution 1920x1080
LOG  : General     , 1688682230037> Initial resolution 1920x1080 fullScreen=true
LOG  : General     , 1688682230040> OpenGL 1.5 buffer objects supported
LOG  : General     , 1688682230042> VSync: OFF
LOG  : General     , 1688682230066> NVIDIA: current available GPU memory is 6794 MB
LOG  : General     , 1688682230068> NVIDIA: dedicated available GPU memory is 8192 MB
LOG  : General     , 1688682230069> NVIDIA: total available GPU memory is 8192 MB
LOG  : General     , 1688682238476> AngelCodeFont failed to load page 0 texture F:/SteamLibrary/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1688682238481> AngelCodeFont failed to load page 0 texture F:/SteamLibrary/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1688682238493> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1688682238493> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1688682238494> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1688682238494> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1688682238498> AngelCodeFont failed to load page 0 texture F:/SteamLibrary/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1688682238521> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1688682238660> Loading networking libraries...
LOG  : General     , 1688682238660> Loading steam_api64...
LOG  : General     , 1688682238663> Loading RakNet64...
LOG  : General     , 1688682238666> Loading ZNetJNI64...
LOG  : Network     , 1688682238798> [07-07-23 00:23:58.798] > ZNet: SetLogLevel 2
LOG  : Network     , 1688682238802> [07-07-23 00:23:58.802] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1688682238803> SteamUtils initialised successfully
LOG  : Mod         , 1688682239846> refusing to list examplemod
LOG  : Mod         , 1688682239918> 2x version of Fire2x.pack not found.
LOG  : Mod         , 1688682239920> 2x version of Smoke2x.pack not found.
LOG  : Mod         , 1688682239930> 2x version of water_dispenser.pack not found.
LOG  : Mod         , 1688682239944> 2x version of packsleepingbags.pack not found.
LOG  : Mod         , 1688682239994> 2x version of Quarters.pack not found.
LOG  : Mod         , 1688682239995> 2x version of solarmod_tileset.pack found.
LOG  : Mod         , 1688682239998> 2x version of Ladder.pack not found.
LOG  : Mod         , 1688682240035> 2x version of fol_Take_A_Bath_Water_A.pack not found.
LOG  : Mod         , 1688682240036> 2x version of fol_Take_A_Bath_Water_B.pack not found.
LOG  : Mod         , 1688682240102> 2x version of A26_Tiles.pack not found.
LOG  : Mod         , 1688682240147> 2x version of rvinterior.pack found.
LOG  : Mod         , 1688682240162> loading VISIBLE_BACKPACK_BACKGROUND
LOG  : Mod         , 1688682240166> loading CombatText
LOG  : Mod         , 1688682240172> mod "CombatText" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1688682240173> mod "CombatText" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1688682240174> mod "CombatText" overrides media/lua/shared/translate/jp/ui_jp.txt
LOG  : Mod         , 1688682240175> mod "CombatText" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1688682240176> loading ExtraMapSymbolsUI
LOG  : Mod         , 1688682240180> mod "ExtraMapSymbolsUI" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1688682240181> mod "ExtraMapSymbolsUI" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1688682240181> loading fuelsideindicator
LOG  : Mod         , 1688682240184> loading P4HasBeenRead
LOG  : Mod         , 1688682240188> mod "P4HasBeenRead" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1688682240189> mod "P4HasBeenRead" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1688682240191> mod "P4HasBeenRead" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1688682240192> mod "P4HasBeenRead" overrides media/lua/shared/translate/fr/ui_fr.txt
LOG  : Mod         , 1688682240193> mod "P4HasBeenRead" overrides media/lua/shared/translate/it/ui_it.txt
LOG  : Mod         , 1688682240193> mod "P4HasBeenRead" overrides media/lua/shared/translate/jp/ui_jp.txt
LOG  : Mod         , 1688682240194> mod "P4HasBeenRead" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1688682240195> mod "P4HasBeenRead" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1688682240196> mod "P4HasBeenRead" overrides media/lua/shared/translate/th/ui_th.txt
LOG  : Mod         , 1688682240197> mod "P4HasBeenRead" overrides media/lua/shared/translate/ua/ui_ua.txt
LOG  : Mod         , 1688682240199> loading MapSymbolSizeSlider
LOG  : Mod         , 1688682240202> mod "MapSymbolSizeSlider" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1688682240203> mod "MapSymbolSizeSlider" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1688682240204> loading MoreDescriptionForTraits4166
LOG  : Mod         , 1688682240208> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ch/ig_ui_ch.txt
LOG  : Mod         , 1688682240209> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ch/ui_ch.txt
LOG  : Mod         , 1688682240209> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/cn/ig_ui_cn.txt
LOG  : Mod         , 1688682240211> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1688682240212> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/de/ui_de.txt
LOG  : Mod         , 1688682240212> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1688682240213> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1688682240214> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1688682240215> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1688682240216> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/fr/ui_fr.txt
LOG  : Mod         , 1688682240217> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ko/ui_ko.txt
LOG  : Mod         , 1688682240218> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1688682240219> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1688682240220> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1688682240221> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1688682240223> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/tr/ui_tr.txt
LOG  : Mod         , 1688682240224> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ua/ig_ui_ua.txt
LOG  : Mod         , 1688682240225> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ua/ui_ua.txt
LOG  : Mod         , 1688682240227> loading AkyFingersFem
LOG  : Mod         , 1688682240230> loading AkyFingers
LOG  : Mod         , 1688682240232> loading ExtraMapSymbols
LOG  : Mod         , 1688682240236> mod "ExtraMapSymbols" overrides icon.png
LOG  : Mod         , 1688682240305> loading improvedhairmenu
LOG  : Mod         , 1688682240318> mod "improvedhairmenu" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1688682240320> loading tsarslib
LOG  : Mod         , 1688682240375> mod "tsarslib" overrides media/lua/shared/translate/cn/contextmenu_cn.txt
LOG  : Mod         , 1688682240377> mod "tsarslib" overrides media/lua/shared/translate/cn/ig_ui_cn.txt
LOG  : Mod         , 1688682240378> mod "tsarslib" overrides media/lua/shared/translate/cn/itemname_cn.txt
LOG  : Mod         , 1688682240379> mod "tsarslib" overrides media/lua/shared/translate/cn/recipes_cn.txt
LOG  : Mod         , 1688682240380> mod "tsarslib" overrides media/lua/shared/translate/cn/tooltip_cn.txt
LOG  : Mod         , 1688682240381> mod "tsarslib" overrides media/lua/shared/translate/de/contextmenu_de.txt
LOG  : Mod         , 1688682240383> mod "tsarslib" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1688682240384> mod "tsarslib" overrides media/lua/shared/translate/de/itemname_de.txt
LOG  : Mod         , 1688682240385> mod "tsarslib" overrides media/lua/shared/translate/de/recipes_de.txt
LOG  : Mod         , 1688682240387> mod "tsarslib" overrides media/lua/shared/translate/de/tooltip_de.txt
LOG  : Mod         , 1688682240388> mod "tsarslib" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1688682240390> mod "tsarslib" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1688682240392> mod "tsarslib" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1688682240393> mod "tsarslib" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1688682240395> mod "tsarslib" overrides media/lua/shared/translate/en/recorded_media_en.txt
LOG  : Mod         , 1688682240396> mod "tsarslib" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1688682240397> mod "tsarslib" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1688682240398> mod "tsarslib" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1688682240400> mod "tsarslib" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1688682240401> mod "tsarslib" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1688682240402> mod "tsarslib" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1688682240403> mod "tsarslib" overrides media/lua/shared/translate/fr/contextmenu_fr.txt
LOG  : Mod         , 1688682240404> mod "tsarslib" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1688682240405> mod "tsarslib" overrides media/lua/shared/translate/it/contextmenu_it.txt
LOG  : Mod         , 1688682240407> mod "tsarslib" overrides media/lua/shared/translate/it/ig_ui_it.txt
LOG  : Mod         , 1688682240408> mod "tsarslib" overrides media/lua/shared/translate/it/itemname_it.txt
LOG  : Mod         , 1688682240409> mod "tsarslib" overrides media/lua/shared/translate/it/recipes_it.txt
LOG  : Mod         , 1688682240410> mod "tsarslib" overrides media/lua/shared/translate/it/recorded_media_it.txt
LOG  : Mod         , 1688682240412> mod "tsarslib" overrides media/lua/shared/translate/it/tooltip_it.txt
LOG  : Mod         , 1688682240413> mod "tsarslib" overrides media/lua/shared/translate/pl/contextmenu_pl.txt
LOG  : Mod         , 1688682240414> mod "tsarslib" overrides media/lua/shared/translate/pl/ig_ui_pl.txt
LOG  : Mod         , 1688682240416> mod "tsarslib" overrides media/lua/shared/translate/pl/items_pl.txt
LOG  : Mod         , 1688682240418> mod "tsarslib" overrides media/lua/shared/translate/pl/recipes_pl.txt
LOG  : Mod         , 1688682240419> mod "tsarslib" overrides media/lua/shared/translate/pl/tooltip_pl.txt
LOG  : Mod         , 1688682240421> mod "tsarslib" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1688682240422> mod "tsarslib" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1688682240423> mod "tsarslib" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1688682240425> mod "tsarslib" overrides media/lua/shared/translate/ptbr/recipes_ptbr.txt
LOG  : Mod         , 1688682240426> mod "tsarslib" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1688682240427> mod "tsarslib" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1688682240428> mod "tsarslib" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1688682240430> mod "tsarslib" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1688682240430> mod "tsarslib" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1688682240432> mod "tsarslib" overrides media/lua/shared/translate/ru/recorded_media_ru.txt
LOG  : Mod         , 1688682240433> mod "tsarslib" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1688682240563> loading TMC_Trolley
LOG  : Mod         , 1688682240568> mod "TMC_Trolley" overrides changelog.txt
LOG  : Mod         , 1688682240569> mod "TMC_Trolley" overrides media/animsets/player/ext/bentdouble.xml
LOG  : Mod         , 1688682240570> mod "TMC_Trolley" overrides media/animsets/player/ext/bridgenose.xml
LOG  : Mod         , 1688682240571> mod "TMC_Trolley" overrides media/animsets/player/ext/chewnails.xml
LOG  : Mod         , 1688682240581> mod "TMC_Trolley" overrides media/animsets/player/ext/cough.xml
LOG  : Mod         , 1688682240583> mod "TMC_Trolley" overrides media/animsets/player/ext/ext01.xml
LOG  : Mod         , 1688682240583> mod "TMC_Trolley" overrides media/animsets/player/ext/ext02.xml
LOG  : Mod         , 1688682240584> mod "TMC_Trolley" overrides media/animsets/player/ext/ext03.xml
LOG  : Mod         , 1688682240585> mod "TMC_Trolley" overrides media/animsets/player/ext/ext04.xml
LOG  : Mod         , 1688682240585> mod "TMC_Trolley" overrides media/animsets/player/ext/ext05.xml
LOG  : Mod         , 1688682240586> mod "TMC_Trolley" overrides media/animsets/player/ext/ext_painhead.xml
LOG  : Mod         , 1688682240587> mod "TMC_Trolley" overrides media/animsets/player/ext/ext_painstomach.xml
LOG  : Mod         , 1688682240588> mod "TMC_Trolley" overrides media/animsets/player/ext/ext_wipearm.xml
LOG  : Mod         , 1688682240588> mod "TMC_Trolley" overrides media/animsets/player/ext/painarml.xml
LOG  : Mod         , 1688682240589> mod "TMC_Trolley" overrides media/animsets/player/ext/painarmr.xml
LOG  : Mod         , 1688682240590> mod "TMC_Trolley" overrides media/animsets/player/ext/painhandl.xml
LOG  : Mod         , 1688682240590> mod "TMC_Trolley" overrides media/animsets/player/ext/painhandr.xml
LOG  : Mod         , 1688682240591> mod "TMC_Trolley" overrides media/animsets/player/ext/painhead2.xml
LOG  : Mod         , 1688682240592> mod "TMC_Trolley" overrides media/animsets/player/ext/painlegl.xml
LOG  : Mod         , 1688682240592> mod "TMC_Trolley" overrides media/animsets/player/ext/painlegr.xml
LOG  : Mod         , 1688682240593> mod "TMC_Trolley" overrides media/animsets/player/ext/painstomach2.xml
LOG  : Mod         , 1688682240594> mod "TMC_Trolley" overrides media/animsets/player/ext/paintorso.xml
LOG  : Mod         , 1688682240595> mod "TMC_Trolley" overrides media/animsets/player/ext/pullatcolar.xml
LOG  : Mod         , 1688682240596> mod "TMC_Trolley" overrides media/animsets/player/ext/shiftweight.xml
LOG  : Mod         , 1688682240597> mod "TMC_Trolley" overrides media/animsets/player/ext/shiver.xml
LOG  : Mod         , 1688682240598> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakcough.xml
LOG  : Mod         , 1688682240598> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainarml.xml
LOG  : Mod         , 1688682240600> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainarmr.xml
LOG  : Mod         , 1688682240601> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainhandl.xml
LOG  : Mod         , 1688682240601> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainhead.xml
LOG  : Mod         , 1688682240602> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainlegl.xml
LOG  : Mod         , 1688682240603> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainlegr.xml
LOG  : Mod         , 1688682240604> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainstomach.xml
LOG  : Mod         , 1688682240605> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpaintorso.xml
